product_id,product_name,product_mfg
54,OnePlus 6T A6013 128GB Storage + 8GB Memory T-Mobile and GSM + Verizon Unlocked 6.41 inch AMOLED Display Android 9 - Mirror Black US Version,OnePlus
55,"Google Pixel 2 XL 64 GB, Black (Renewed)",Google
56,Apple Watch Series 5 GPS + Cellular - 40mm Gold Aluminum Case with Pink Sand Sport Band (Renewed),Apple
57,"Apple iPhone 7, 32GB, Black - For AT&T (Renewed)",Apple
58,"Samsung Galaxy A70 128GB/6GB SM-A705MN/DS 6.7"" HD+ Infinity-U 4G/LTE Factory Unlocked Smartphone (International Version, No Warranty) (Black)",Samsung
59,"Samsung Galaxy S8, 64GB, Midnight Black - For AT&T / T-Mobile (Renewed)",Samsung
60,Moto G Power | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2020 | Black,Moto
61,"Apple iPhone 6S, 16GB, Space Gray - For AT&T / T-Mobile (Renewed)",Apple
62,Samsung Galaxy S20 5G Factory Unlocked 128GB | New Android Cell Phone Bundle | US Version | Cosmic Gray | Includes Samsung Galaxy Buds & Samsung Duo Wireless Charging Station,Samsung
63,motorola G7 Power - Unlocked - 64 GB - Marine Blue (No Warranty) - International Model (GSM Only) (PAEC0003SV),motorola
64,"Apple iPhone XS, 64GB, Space Gray - For AT&T / T-Mobile (Renewed)",Apple
65,Google - Pixel 3a Unlocked Android G020g with 64GB Memory Cell Phone Unlimited Cloud Storage W/ 69.99 Hesvap 7 in 1 Accessories Bundle (Black),Google
66,"Motorola One Action with Alexa Push-to-Talk - Unlocked Smartphone - Global Version - 128GB - Denim (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, & Metro",Motorola
67,"Apple iPhone 8, 64GB, Silver - Fully Unlocked (Renewed)",Apple
68,"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -International Unlocked -Black",BLU
69,Alcatel QUICKFLIP 4044C | 4G LTE | HD Voice FlipPhone | - GSM Unlocked,Alcatel
70,Samsung Galaxy S10e Verizon + GSM Unlocked 128GB Prism Black (Renewed),Samsung
71,"Apple iPhone SE, 16GB, Space Gray - For AT&T / T-Mobile (Renewed)",Apple
72,Samsung Galaxy J2 Core 2018 Factory Unlocked 4G LTE (USA Latin Caribbean) Android Oreo SM-J260M Dual Sim 8MP 8GB (Gold),Samsung
73,Google Pixel 3 64GB - Just Black (Renewed),Google
74,"Samsung Galaxy A20 32GB A205G/DS 6.4"" HD+ 4,000mAh Battery LTE Factory Unlocked GSM Smartphone (International Version, No Warranty) (Deep Blue)",Samsung
75,"Google Pixel 2 XL 64 GB, White (Renewed)",Google
76,Samsung Galaxy S9 Plus Verizon + GSM Unlocked 64GB Lilac Purple (Renewed),Samsung
77,"Apple iPhone XS Max, 256GB, Silver - Fully Unlocked (Renewed)",Apple
78,Samsung Galaxy S9 - GSM Unlocked - 64GB (Lilac Purple) (Renewed),Samsung
79,Xiaomi Redmi Note 8 128GB 4GB RAM 48MP Factory Unlocked Global Version Dual SIM Smartphone (Neptune Blue),Xiaomi
80,Xiaomi Redmi Note 8 128GB 4GB RAM 48MP Factory Unlocked Global Version Dual SIM Smartphone (Space Black),Xiaomi
81,"Apple iPhone 7 a1778, GSM Unlocked, 32GB (Renewed)",Apple
82,Alcatel Cingular Flip 2 4G LTE FlipPhone Bluetooth WIFI MP3 Camera Good for Elderly - GSM Unlocked (Renewed),Alcatel
83,LG V35 ThinQ V35 64GB Unlocked GSM Phone w/ Dual 16MP Camera - Aurora Black,LG
84,"Apple iPhone X, GSM Unlocked, 256GB - Silver (Renewed)",Apple
85,"Samsung Galaxy J3 Prime J327A | (16GB, 1.5 RAM) | 5"" Full HD Display | Dual Camera | 2,600 mAh Battery | Android 7.0 Nougat | 4G LTE | GSM Unlocked Smartphone - (Black)",Samsung
86,"Samsung Galaxy Note 8, 64GB, Midnight Black - For AT&T / T-Mobile (Renewed)",Samsung
87,"LG Electronics K30 Factory Unlocked Phone, 16GB - 5.3' - Black (Renewed)",LG
88,"Snapfon ezTWO Senior Unlocked GSM Cell Phone, SOS Button, Hearing Aid Compatible",Snapfon
89,"Apple iPhone 11 Pro, 64GB, Midnight Green - Fully Unlocked (Renewed)",Apple
90,"Xiaomi Mi 9T (128GB, 6GB RAM) 6.39"" AMOLED FHD + Full Screen Display, 48MP Triple Camera, Global 4G LTE Dual SIM GSM Factory Unlocked (Carbon Black)",Xiaomi
91,"Xiaomi Redmi Note 9S 6.67"" 48MP International Global Version (Interstellar Grey, 6GB/128GB)",Xiaomi
92,Xiaomi Mi Note 10 128GB 108MP Penta Camera 6.47″ LTE Factory Unlocked Smartphone (International Version) (Midnight Black),Xiaomi
93,BLU Z5 -GSM Unlocked Dual Sim -Black,BLU
94,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",Samsung
95,"Apple iPhone 6S, 32GB, Rose Gold - For AT&T / T-Mobile (Renewed)",Apple
96,"Samsung Galaxy Note 10+ Plus Factory Unlocked Cell Phone with 512GB (U.S. Warranty), Aura Black/ Note10+",Samsung
97,Samsung Galaxy Prime 16GB J327 J3 AT&T T-Mobile Unlocked Smartphone - Silver (Renewed),Samsung
98,"Xiaomi Redmi 8A (32GB, 2GB RAM) 6.22"" HD Display, Snapdragon 439, 5000mAh Battery, Dual SIM GSM Unlocked - US & Global 4G LTE International Version (Midnight Black, 32 GB)",Xiaomi
99,"Samsung Galaxy A70 128GB/6GB SM-A705M/DS 6.7"" HD+ Infinity-U 4G/LTE Factory Unlocked Smartphone (International Version , No Warranty) (Blue)",Samsung
100,Samsung Galaxy A50 A505F 128GB Dual SIM Unlocked GSM Phone w/ Triple (25MP+8MP+5MP) Camera - Black,Samsung
101,"Samsung Galaxy A20 SM-A205FDS 32GB, Dual Sim, 6.4"" Infinity-V Display, Dual Rear Camera, 3GB RAM, GSM Unlocked International Model, No Warranty (Black)",Samsung
102,LG K40 X420 32GB Unlocked GSM Phone w/ 16MP Camera - Aurora Black,LG
